PROBLEM;BINARY;ITERATION;TIME;MEMORY;SENSORS_NUMBER
Space_Invaders_Planner3;dlv2;36;0,06;1012;56
Space_Invaders_Planner3;dlv2;37;0,06;1012;56
Space_Invaders_Planner3;dlv2;38;0,04;1012;59
Space_Invaders_Planner3;dlv2;39;0,04;1016;59
Space_Invaders_Planner3;dlv2;40;0,06;1012;54
Space_Invaders_Planner3;dlv2;41;0,06;1012;54
Space_Invaders_Planner3;dlv2;42;0,06;1016;52
Space_Invaders_Planner3;dlv2;43;0,05;1012;55
Space_Invaders_Planner3;dlv2;44;0,04;1012;55
Space_Invaders_Planner3;dlv2;45;0,04;1016;55
Space_Invaders_Planner3;dlv2;46;0,04;1012;55
Space_Invaders_Planner3;dlv2;47;0,04;1012;53
Space_Invaders_Planner3;dlv2;48;0,04;1012;53
Space_Invaders_Planner3;dlv2;49;0,04;1012;53
Space_Invaders_Planner3;dlv2;50;0,05;1016;53
